Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task
intiation,19 days,1,09/15/17 08:00 AM,10/11/17 05:00 PM,09/15/17 08:00 AM,10/11/17 05:00 PM,,10/11/17 05:00 PM,1
governance g1,19 days,1,09/15/17 08:00 AM,10/11/17 05:00 PM,09/15/17 08:00 AM,10/11/17 05:00 PM,09/15/17 08:00 AM,10/11/17 05:00 PM,
iDC backup solution,"1,237 days?",0.656431852986217,02/26/18 08:00 AM,12/08/22 05:00 PM,02/26/18 08:00 AM,12/08/22 05:00 PM,10/18/19 08:00 AM,,1
governannce g2 ,56 days,1,02/26/18 08:00 AM,05/16/18 05:00 PM,02/26/18 08:00 AM,05/16/18 05:00 PM,,05/16/18 05:00 PM,1
bc formation,32 days,1,02/26/18 08:00 AM,04/10/18 05:00 PM,02/26/18 08:00 AM,04/10/18 05:00 PM,02/26/18 08:00 AM,04/10/18 05:00 PM,
integration information ,38 days,1,02/27/18 08:00 AM,04/20/18 05:00 PM,02/27/18 08:00 AM,04/20/18 05:00 PM,02/27/18 08:00 AM,04/20/18 05:00 PM,
g2-approval,1 day,1,05/16/18 08:00 AM,05/16/18 05:00 PM,05/16/18 08:00 AM,05/16/18 05:00 PM,05/16/18 08:00 AM,05/16/18 05:00 PM,
system procurement,994 days?,0.713520871143376,02/27/18 08:00 AM,01/04/22 05:00 PM,02/27/18 08:00 AM,01/04/22 05:00 PM,10/18/19 08:00 AM,,1
rfp/specifications,99 days,1,02/27/18 08:00 AM,07/20/18 05:00 PM,02/27/18 08:00 AM,07/20/18 05:00 PM,02/27/18 08:00 AM,07/20/18 05:00 PM,
tender doc preparation,7 days,1,05/17/18 08:00 AM,05/25/18 05:00 PM,05/17/18 08:00 AM,05/25/18 05:00 PM,05/17/18 08:00 AM,05/25/18 05:00 PM,
tet appointment,11 days,1,05/31/18 08:00 AM,06/15/18 05:00 PM,05/31/18 08:00 AM,06/15/18 05:00 PM,05/31/18 08:00 AM,06/15/18 05:00 PM,
review and design finalization,2 days,1,07/20/18 08:00 AM,07/23/18 05:00 PM,07/20/18 08:00 AM,07/23/18 05:00 PM,07/20/18 08:00 AM,07/23/18 05:00 PM,
project erp formation ,30 days,1,06/28/18 08:00 AM,08/09/18 05:00 PM,06/28/18 08:00 AM,08/09/18 05:00 PM,06/28/18 08:00 AM,08/09/18 05:00 PM,
purchase requistion,2 days,1,08/09/18 08:00 AM,08/10/18 05:00 PM,08/09/18 08:00 AM,08/10/18 05:00 PM,08/09/18 08:00 AM,08/10/18 05:00 PM,
procuremnt lead,3 days,1,08/13/18 08:00 AM,08/15/18 05:00 PM,08/13/18 08:00 AM,08/15/18 05:00 PM,08/13/18 08:00 AM,08/15/18 05:00 PM,
tendering,30 days,1,08/16/18 08:00 AM,09/27/18 05:00 PM,08/16/18 08:00 AM,09/27/18 05:00 PM,08/16/18 08:00 AM,09/27/18 05:00 PM,
tet evaluation ,270 days?,1,09/28/18 08:00 AM,10/17/19 05:00 PM,09/28/18 08:00 AM,10/17/19 05:00 PM,,10/17/19 05:00 PM,1
document evaluation,96 days,1,09/28/18 08:00 AM,02/15/19 05:00 PM,09/28/18 08:00 AM,02/15/19 05:00 PM,09/28/18 08:00 AM,02/15/19 05:00 PM,
contract negotiation,30 days,1,02/18/19 08:00 AM,03/29/19 05:00 PM,02/18/19 08:00 AM,03/29/19 05:00 PM,02/18/19 08:00 AM,03/29/19 05:00 PM,
